日期,股票代码,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2011-09-20,sz.002617,17.5,18.28,16.8,17.55,12977901,228128512.08,54.074588,-2.500004
2011-09-21,sz.002617,17.71,19.31,17.58,19.31,11912357,222183098.22,49.634821,10.0285
2011-09-22,sz.002617,20.05,21.18,19.86,20.45,16617252,337415363.29,69.23855,5.9037
2011-09-23,sz.002617,19.83,20.87,19.33,20.4,10797717,216104099.74,44.990488,-0.2445
2011-09-26,sz.002617,20.2,21.08,19.87,19.93,8363903,170369954.53,34.849596,-2.3039
2011-09-27,sz.002617,20.15,21.5,19.65,20.56,10483220,216367228.46,43.680083,3.1611
2011-09-28,sz.002617,19.96,20.18,18.5,18.55,9844938,191339812.47,41.020575,-9.7763
2011-09-29,sz.002617,18.0,18.4,17.58,17.63,4953124,88828654.34,20.638017,-4.9596
2011-09-30,sz.002617,17.64,18.3,17.38,17.87,3524771,63028036.72,14.686546,1.3613
2011-10-10,sz.002617,17.65,18.25,17.0,17.98,3927544,69717777.13,16.364767,0.6156
2011-10-11,sz.002617,18.73,18.89,17.4,17.83,4877666,89313877.0,20.323608,-0.8343
2011-10-12,sz.002617,17.53,18.72,16.85,18.63,6067169,110074245.81,25.279871,4.4868
2011-10-13,sz.002617,18.43,20.06,18.32,19.79,8413676,161244445.44,35.056983,6.2265
2011-10-14,sz.002617,19.52,19.85,19.15,19.78,5717564,111246581.32,23.823183,-0.0505
2011-10-17,sz.002617,19.85,21.76,19.68,21.76,6325931,133660889.86,26.358046,10.0101
2011-10-18,sz.002617,22.6,23.3,21.82,22.15,15155062,340953815.21,63.146092,1.7923
2011-10-19,sz.002617,22.16,22.29,21.14,21.57,7510230,162483401.94,31.292625,-2.6185
2011-10-20,sz.002617,21.2,22.29,20.78,22.11,9238358,200049920.91,38.493158,2.5035
2011-10-21,sz.002617,21.5,21.61,19.91,20.16,7093751,146070438.88,29.557296,-8.8195
2011-10-24,sz.002617,20.16,20.79,18.59,20.47,7161415,141100360.01,29.839229,1.5377
2011-10-25,sz.002617,20.08,22.52,20.05,22.52,8981358,194515492.19,37.422325,10.0147
2011-10-26,sz.002617,22.65,23.86,21.98,23.39,12478020,284009582.65,51.99175,3.8632
2011-10-27,sz.002617,22.6,23.22,22.05,22.88,8553819,194148232.95,35.640912,-2.1804
2011-10-28,sz.002617,23.13,23.65,22.68,23.35,8594811,199359392.91,35.811712,2.0542
2011-10-31,sz.002617,23.1,23.3,22.3,23.05,7245543,165231552.22,30.189763,-1.2848
2011-11-01,sz.002617,22.6,23.35,22.38,22.6,5082624,115772831.29,21.1776,-1.9523
2011-11-02,sz.002617,21.66,23.6,21.41,23.6,8186894,183800476.72,34.112058,4.4248
2011-11-03,sz.002617,23.48,23.99,22.6,22.77,7126826,166456085.68,29.695108,-3.5169
2011-11-04,sz.002617,22.73,23.0,22.07,22.37,4710167,105656299.65,19.625696,-1.7567
2011-11-07,sz.002617,22.08,22.6,21.81,22.19,2659998,59089603.35,11.083325,-0.8046
2011-11-08,sz.002617,22.07,22.58,21.93,22.43,3369081,75111236.97,14.037838,1.0816
2011-11-09,sz.002617,22.46,22.55,21.51,22.51,3241462,71877130.26,13.506092,0.3567
2011-11-10,sz.002617,22.15,22.25,21.28,21.41,3690380,80613620.07,15.376583,-4.8867
2011-11-11,sz.002617,21.41,21.41,21.41,21.41,0,0.0,,0.0
2011-11-14,sz.002617,21.5,22.3,21.31,21.98,3216123,70423721.55,13.400512,2.6623
2011-11-15,sz.002617,21.82,23.2,21.81,22.75,6007957,136126695.9,25.033154,3.5032
2011-11-16,sz.002617,22.6,22.75,21.5,21.63,3198894,70434207.48,13.328725,-4.9231
2011-11-17,sz.002617,21.45,22.05,21.31,21.55,2365903,51235988.72,9.857929,-0.3699
2011-11-18,sz.002617,21.2,21.3,20.05,21.27,3817305,79349986.54,15.905437,-1.2993
2011-11-21,sz.002617,21.29,21.65,20.92,21.52,3275218,69869981.09,13.646742,1.1754
2011-11-22,sz.002617,21.3,21.3,20.23,20.95,2117764,44175922.1,8.824017,-2.6487
2011-11-23,sz.002617,20.9,21.2,20.52,20.55,1377965,28675325.59,5.741521,-1.9093
2011-11-24,sz.002617,20.0,20.54,19.75,20.05,2214008,44400117.87,9.225033,-2.4331
2011-11-25,sz.002617,20.04,20.24,19.2,19.2,2319749,45581924.48,9.665621,-4.2394
2011-11-28,sz.002617,19.18,19.3,18.73,19.01,1759756,33389368.34,7.332317,-0.9896
2011-11-29,sz.002617,19.45,19.48,19.03,19.26,1933300,37273782.01,8.055417,1.3151
2011-11-30,sz.002617,19.35,19.35,17.77,17.8,2959136,54126729.45,12.329733,-7.5805
2011-12-01,sz.002617,18.35,18.77,18.18,18.32,2764921,51040094.68,11.520504,2.9213
2011-12-02,sz.002617,18.12,18.18,17.45,17.77,1794393,31961920.83,7.476637,-3.0022
2011-12-05,sz.002617,17.69,19.25,17.21,18.62,3737383,68536618.04,15.572429,4.7833
2011-12-06,sz.002617,18.38,19.2,18.18,19.13,3746049,70831790.25,15.608538,2.739
2011-12-07,sz.002617,19.1,19.15,18.67,18.98,2618930,49443886.53,10.912208,-0.7841
2011-12-08,sz.002617,18.97,19.3,18.21,18.6,2599809,48940769.82,10.832538,-2.0021
2011-12-09,sz.002617,18.06,18.5,17.91,17.98,2036236,36934867.07,8.484317,-3.3333
2011-12-12,sz.002617,17.98,18.17,17.56,17.7,1230916,21947368.7,5.128817,-1.5573
