日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,股票代码,换手率
2010-06-01,986.0156,994.7931,948.1186,973.2333,135628510,4924176838.91,0.0,sz.399006,0.05809
2010-06-02,967.6097,997.1196,952.6116,997.1196,107462758,4001206160.77,2.45433,sz.399006,0.046027
2010-06-03,1002.355,1026.702,997.7751,998.3949,161680539,6240835495.9,0.127895,sz.399006,0.069248
2010-06-04,989.6815,1027.682,986.5043,1027.682,150029501,5269440644.11,2.933383,sz.399006,0.064077
2010-06-07,1005.029,1075.225,1001.703,1069.469,265527537,9106094723.42,4.066141,sz.399006,0.113406
2010-06-08,1067.325,1075.503,1050.965,1067.155,197672078,6621994295.26,-0.216343,sz.399006,0.084425
2010-06-09,1070.852,1102.098,1069.431,1077.823,254156809,8994866395.71,0.999699,sz.399006,0.108549
2010-06-10,1077.675,1119.106,1076.281,1117.478,219740471,8242731100.19,3.679166,sz.399006,0.092961
2010-06-11,1122.444,1128.229,1118.707,1122.199,222487419,8449039155.87,0.422497,sz.399006,0.091702
2010-06-17,1126.131,1129.685,1064.84,1064.84,176428356,6757409316.43,-5.111357,sz.399006,0.072718
2010-06-18,1052.068,1053.139,993.1747,1000.277,163065095,5827721367.28,-6.063113,sz.399006,0.06721
2010-06-21,991.9573,1043.156,976.414,1040.803,157479764,5604269447.33,4.051421,sz.399006,0.064536
2010-06-22,1037.039,1057.366,1033.647,1034.996,142716206,5067480291.85,-0.557959,sz.399006,0.058486
2010-06-23,1026.865,1056.348,1023.737,1047.338,125735943,4608672511.83,1.192485,sz.399006,0.051527
2010-06-24,1046.76,1059.755,1041.54,1050.602,106913294,3904947868.9,0.311663,sz.399006,0.043813
2010-06-25,1046.212,1046.212,999.1636,1016.284,123729834,4515664637.18,-3.266548,sz.399006,0.050705
2010-06-28,1009.223,1014.414,984.2165,987.8274,92067332,3463552184.2,-2.800017,sz.399006,0.035922
2010-06-29,985.5725,992.2276,912.54,913.3092,149779969,5293896897.01,-7.543644,sz.399006,0.05844
2010-06-30,898.2917,921.8104,881.3604,919.3148,122366104,3852158586.29,0.657567,sz.399006,0.047744
2010-07-01,914.3952,921.2144,882.1904,882.1904,104957291,3663773721.75,-4.038267,sz.399006,0.040952
2010-07-02,878.951,885.338,832.623,873.1205,128883350,4212661774.41,-1.028117,sz.399006,0.050287
2010-07-05,857.3698,870.8632,842.733,862.2687,91586433,2851736006.91,-1.242876,sz.399006,0.035735
2010-07-06,859.2588,898.4452,857.7974,893.7186,116523157,3751055713.42,3.647349,sz.399006,0.045464
2010-07-07,896.532,908.5493,890.3369,908.5493,104616296,3342473672.59,1.659436,sz.399006,0.040819
2010-07-08,911.9974,914.2968,887.0273,905.5095,109808788,3780698945.06,-0.334577,sz.399006,0.042845
2010-07-09,903.4964,936.5306,896.8864,932.1471,145146033,4743256780.7,2.941722,sz.399006,0.056632
2010-07-12,931.5356,941.0719,924.058,930.1738,126361753,4188147301.56,-0.211691,sz.399006,0.049303
2010-07-13,924.9489,936.6444,906.3046,931.0802,146865741,4744135623.13,0.097441,sz.399006,0.057303
2010-07-14,929.7492,937.9323,916.0745,922.3621,142358618,4648080329.28,-0.93634,sz.399006,0.055545
2010-07-15,920.0461,930.5557,892.5576,892.5576,117588081,3960490864.22,-3.231323,sz.399006,0.04588
2010-07-16,885.0674,895.056,869.0223,892.2982,100931228,3264221674.98,-0.029062,sz.399006,0.038496
2010-07-19,881.6563,910.1765,878.0654,908.0493,93880257,2992584133.58,1.765228,sz.399006,0.035807
2010-07-20,909.5439,937.5456,909.5439,937.017,136580867,4559580868.68,3.190104,sz.399006,0.052094
2010-07-21,940.0972,959.038,938.1601,941.2507,166574558,5960654023.43,0.451821,sz.399006,0.062924
2010-07-22,938.2185,950.2093,932.0198,950.2093,132660271,4356669335.32,0.951778,sz.399006,0.050113
2010-07-23,951.8402,964.7437,948.1261,960.5887,172125133,5339086418.07,1.092327,sz.399006,0.064888
2010-07-26,962.7602,966.7325,954.759,966.1547,147603566,4626044944.99,0.579441,sz.399006,0.054794
2010-07-27,963.5442,968.0402,955.7317,957.9673,136182130,4574086800.29,-0.847425,sz.399006,0.050297
2010-07-28,955.1884,972.5341,954.5214,972.5341,156618268,5187227527.15,1.520598,sz.399006,0.057844
2010-07-29,974.2959,982.0151,965.6065,975.3624,179419309,5897853304.33,0.290818,sz.399006,0.066266
2010-07-30,971.6632,971.6632,955.9183,968.431,145848678,5049473241.62,-0.710648,sz.399006,0.053635
2010-08-02,968.4501,994.2289,968.4501,994.2289,181036429,6104407789.03,2.663881,sz.399006,0.066442
2010-08-03,995.1951,996.2639,975.6455,975.6455,175705877,5951414561.57,-1.869124,sz.399006,0.064485
2010-08-04,971.407,978.0141,955.9306,978.0141,144616538,4758297320.82,0.242772,sz.399006,0.053075
2010-08-05,980.2707,998.1018,978.3335,987.3519,177039972,6033987120.82,0.954775,sz.399006,0.064975
2010-08-06,987.9679,1011.391,985.6303,1011.391,189906135,6225316745.74,2.434694,sz.399006,0.069697
2010-08-09,1013.245,1032.339,1013.245,1032.339,209199502,6918898501.49,2.071249,sz.399006,0.076778
2010-08-10,1031.979,1034.333,993.9927,993.9927,217707159,7106822601.14,-3.714542,sz.399006,0.0799
2010-08-11,991.2786,1006.448,990.9409,1004.638,161507822,5180189726.5,1.070917,sz.399006,0.059274
2010-08-12,994.0526,1007.577,987.978,991.7774,168918923,5316055441.86,-1.280074,sz.399006,0.061994
2010-08-13,992.6261,1007.521,986.6231,1007.206,147179842,4831450138.84,1.555669,sz.399006,0.054016
2010-08-16,1007.498,1031.052,1005.052,1030.217,188040007,6199923328.81,2.284623,sz.399006,0.069012
2010-08-17,1031.076,1036.821,1023.08,1033.581,180077710,6092952253.51,0.326535,sz.399006,0.06609
2010-08-18,1033.707,1035.611,1018.496,1026.722,164350147,5721278602.55,-0.663604,sz.399006,0.060318
2010-08-19,1026.983,1033.249,1021.704,1025.526,162453428,5547407031.14,-0.11648,sz.399006,0.059622
2010-08-20,1021.458,1022.448,993.5607,995.9444,187022476,6597771541.62,-2.884553,sz.399006,0.068213
2010-08-23,994.9387,1001.184,991.5183,995.613,145601446,5064149924.5,-0.033277,sz.399006,0.053105
2010-08-24,993.5763,1007.76,987.2249,1004.985,136505173,4942148654.1,0.94138,sz.399006,0.049788
2010-08-25,1000.269,1002.33,976.555,976.8782,150134272,5247658105.9,-2.796787,sz.399006,0.054759
2010-08-26,978.5989,984.8689,973.0021,980.6306,128806654,4668329056.68,0.384126,sz.399006,0.046692
2010-08-27,978.5141,1000.861,975.7206,999.4565,121624294,4490466099.02,1.919772,sz.399006,0.044088
2010-08-30,1002.988,1025.153,1002.988,1024.929,164541225,5997851095.39,2.54862,sz.399006,0.059646
2010-08-31,1020.747,1029.802,1015.133,1025.57,153469989,5742617797.04,0.062564,sz.399006,0.055632
2010-09-01,1025.678,1029.805,987.5889,995.5869,186436260,6805223638.86,-2.92356,sz.399006,0.067583
2010-09-02,1001.597,1018.276,996.5244,1014.922,163085743,5905102093.9,1.942122,sz.399006,0.059118
2010-09-03,1017.638,1045.214,1017.51,1036.703,228936521,8448724535.79,2.146058,sz.399006,0.082585
2010-09-06,1039.464,1043.241,1007.427,1010.764,181308084,6466212157.1,-2.50208,sz.399006,0.065404
2010-09-07,1010.116,1022.622,1007.637,1022.622,128451498,4586031317.68,1.173181,sz.399006,0.046337
2010-09-08,1020.229,1027.637,1016.837,1026.328,140381869,4795945871.45,0.362335,sz.399006,0.050392
2010-09-09,1029.106,1040.67,1019.689,1021.833,195980272,6404983519.69,-0.437951,sz.399006,0.07035
2010-09-10,1021.875,1037.512,1016.191,1034.94,181229017,5743872588.33,1.282683,sz.399006,0.065055
2010-09-13,1034.39,1045.39,1033.254,1042.482,166788999,5527660293.43,0.72882,sz.399006,0.059871
2010-09-14,1044.303,1046.132,1028.77,1031.219,159023168,5554204869.98,-1.080408,sz.399006,0.056949
2010-09-15,1029.521,1030.021,987.0493,990.1035,181827387,6238212550.55,-3.987109,sz.399006,0.065115
2010-09-16,989.4884,994.9547,964.5285,972.6022,144205821,4843029701.25,-1.767627,sz.399006,0.051643
2010-09-17,976.0716,981.7286,967.5555,972.2299,96784058,3271601193.1,-0.038274,sz.399006,0.03466
2010-09-20,972.4455,975.2627,947.414,949.1955,92365876,3136271245.53,-2.369236,sz.399006,0.033078
2010-09-21,952.0729,953.8341,930.2482,934.4615,83585859,2664430095.77,-1.552263,sz.399006,0.029713
2010-09-27,936.2133,951.8378,930.8654,950.6717,89293664,2896534002.56,1.734711,sz.399006,0.031489
2010-09-28,949.6311,949.8899,939.6318,942.0492,93943391,2943710100.69,-0.90699,sz.399006,0.033128
2010-09-29,941.2686,944.1743,924.415,926.7588,83173535,2805263882.01,-1.623101,sz.399006,0.029331
2010-09-30,923.8251,942.5399,921.3577,942.5399,69973738,2252413164.76,1.70283,sz.399006,0.024626
2010-10-08,946.4691,963.1804,945.6189,959.8637,108396014,3415850316.05,1.83799,sz.399006,0.037795
2010-10-11,960.9139,961.1739,941.9125,947.11,144687007,4702486650.74,-1.328701,sz.399006,0.050448
2010-10-12,946.6262,959.9768,945.0111,951.7909,124019209,3915278783.64,0.494231,sz.399006,0.043242
2010-10-13,951.3265,962.7387,940.6459,962.7387,133051664,4123690415.71,1.150233,sz.399006,0.046391
2010-10-14,963.2866,975.9073,956.8642,958.4955,139640543,4577347139.32,-0.440745,sz.399006,0.048689
2010-10-15,954.1175,957.7691,937.1206,944.2549,135249842,4343111215.75,-1.485724,sz.399006,0.047158
2010-10-18,941.8744,941.8744,913.8162,932.3593,132787576,4243012676.67,-1.259784,sz.399006,0.046299
2010-10-19,932.8261,1005.591,932.323,995.9223,233908628,7752443014.75,6.817435,sz.399006,0.081557
2010-10-20,986.6545,1024.58,986.0331,1004.543,263813269,8597749280.95,0.86556,sz.399006,0.091984
2010-10-21,1001.682,1001.682,983.6562,991.8421,156912293,4853646888.84,-1.264307,sz.399006,0.054711
2010-10-22,991.1352,1023.704,991.1352,1013.449,176574884,5596426130.87,2.178422,sz.399006,0.061567
2010-10-25,1018.085,1043.088,1018.085,1039.054,206368912,6717409624.82,2.526568,sz.399006,0.071955
2010-10-26,1041.532,1041.914,1020.942,1036.008,183841353,5899693750.7,-0.2932,sz.399006,0.0641
2010-10-27,1034.864,1048.556,1028.696,1030.593,170168933,5627187689.47,-0.522624,sz.399006,0.059333
2010-10-28,1024.698,1038.622,1023.493,1038.622,159247719,5363520704.93,0.779071,sz.399006,0.055242
2010-10-29,1042.401,1069.754,1042.401,1064.522,223551840,7678783751.11,2.493714,sz.399006,0.077548
2010-11-01,1071.629,1113.623,1071.629,1107.523,281789963,9836595786.08,4.03945,sz.399006,0.075236
2010-11-02,1108.093,1108.093,1074.58,1075.152,245453180,8659221611.94,-2.92288,sz.399006,0.065535
2010-11-03,1063.201,1063.201,1040.549,1040.622,162049194,5454222839.25,-3.211631,sz.399006,0.043266
2010-11-04,1041.419,1057.714,1037.24,1057.714,133879038,4549208821.12,1.642507,sz.399006,0.035739
2010-11-05,1067.873,1072.22,1058.259,1072.22,139702443,4795822279.99,1.371423,sz.399006,0.037294
2010-11-08,1077.504,1107.061,1077.504,1107.061,178649838,6235219996.49,3.249478,sz.399006,0.047547
2010-11-09,1110.434,1117.522,1102.014,1115.648,190022187,6746547558.13,0.775638,sz.399006,0.050574
2010-11-10,1115.744,1147.481,1113.755,1141.583,226669387,7916958467.76,2.324608,sz.399006,0.060328
2010-11-11,1137.079,1163.698,1132.358,1132.722,229790602,7972459576.8,-0.776146,sz.399006,0.061159
