日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,股票代码,换手率
2000-01-04,1368.69,1407.52,1361.21,1406.37,903282400,5183898112.0,2.911651,sh.000001,0.018325
2000-01-05,1407.83,1433.78,1398.32,1409.68,1057939200,8137326080.0,0.235362,sh.000001,0.021446
2000-01-06,1406.04,1463.96,1400.25,1463.94,1348051700,9520842752.0,3.849092,sh.000001,0.027327
2000-01-07,1477.15,1522.83,1477.15,1516.6,3486939600,19487195136.0,3.597144,sh.000001,0.070685
2000-01-10,1531.71,1546.72,1506.4,1545.11,3125304400,18779111424.0,1.879864,sh.000001,0.063354
2000-01-11,1547.68,1547.71,1468.76,1479.78,2192456800,15771749376.0,-4.228175,sh.000001,0.044354
2000-01-12,1473.76,1489.28,1435.0,1438.02,1522193400,12656691200.0,-2.822042,sh.000001,0.030745
2000-01-13,1437.45,1444.07,1418.81,1424.44,861194300,7468732928.0,-0.94436,sh.000001,0.017361
2000-01-14,1426.22,1433.47,1401.71,1408.85,744701300,6256399360.0,-1.094463,sh.000001,0.015013
2000-01-17,1408.99,1433.38,1402.66,1433.33,764797600,6290277888.0,1.737586,sh.000001,0.015418
2000-01-18,1436.89,1443.59,1421.64,1426.62,776713000,7072431104.0,-0.468138,sh.000001,0.015637
2000-01-19,1425.87,1443.67,1425.14,1440.72,800479200,6493590016.0,0.988348,sh.000001,0.016115
2000-01-20,1443.09,1466.9,1443.09,1466.86,1007080300,8875429888.0,1.814372,sh.000001,0.020256
2000-01-21,1471.91,1476.46,1458.93,1465.09,1505077200,13743475712.0,-0.120667,sh.000001,0.030267
2000-01-24,1465.86,1477.41,1449.47,1477.34,1624150700,14606044160.0,0.836126,sh.000001,0.032662
2000-01-25,1483.03,1490.46,1467.44,1476.51,1363598300,12996698112.0,-0.056179,sh.000001,0.0274
2000-01-26,1477.3,1482.46,1469.98,1481.12,1038443700,9577442304.0,0.312222,sh.000001,0.020832
2000-01-27,1490.45,1506.92,1485.23,1506.77,1897997400,15992564736.0,1.731799,sh.000001,0.038041
2000-01-28,1514.56,1536.35,1510.75,1535.0,2938816200,20709478400.0,1.873543,sh.000001,0.058902
2000-02-14,1591.45,1674.13,1587.82,1673.94,4356913200,23157620736.0,9.051462,sh.000001,0.087324
2000-02-15,1709.22,1746.44,1663.01,1670.67,5254342400,34925486080.0,-0.195341,sh.000001,0.105241
2000-02-16,1674.94,1695.88,1649.7,1693.11,3743554800,34009001984.0,1.34317,sh.000001,0.074981
2000-02-17,1734.27,1770.88,1615.63,1640.65,5143906800,47262171136.0,-3.098438,sh.000001,0.103029
2000-02-18,1623.96,1668.16,1583.58,1668.09,2678535400,25842489344.0,1.672504,sh.000001,0.053637
2000-02-21,1681.36,1697.01,1652.48,1677.14,3101120400,32615790592.0,0.54254,sh.000001,0.062014
2000-02-22,1681.3,1687.51,1627.47,1632.29,2425177600,26178822144.0,-2.674194,sh.000001,0.048479
2000-02-23,1618.01,1630.55,1586.63,1594.93,1918572800,18577262592.0,-2.288808,sh.000001,0.038346
2000-02-24,1593.95,1634.32,1593.93,1634.31,1393287500,14762156032.0,2.469074,sh.000001,0.027827
2000-02-25,1639.92,1650.37,1618.18,1631.58,1705805400,18504671232.0,-0.167049,sh.000001,0.034069
2000-02-28,1639.8,1704.88,1639.7,1704.86,2612794600,24422227968.0,4.491354,sh.000001,0.052183
2000-02-29,1728.14,1733.14,1678.35,1714.58,2867874800,32196007936.0,0.570133,sh.000001,0.057278
2000-03-01,1720.6,1721.14,1692.51,1697.74,2248767400,23873890304.0,-0.982163,sh.000001,0.044806
2000-03-02,1697.56,1721.6,1682.54,1713.01,1959349600,20352632832.0,0.899432,sh.000001,0.039021
2000-03-03,1728.36,1750.65,1721.71,1738.02,2481549800,25767591936.0,1.460004,sh.000001,0.049421
2000-03-06,1756.31,1762.83,1678.74,1681.09,2650470800,26614910976.0,-3.275569,sh.000001,0.052785
2000-03-07,1661.95,1694.89,1654.44,1694.8,1768501600,16439373824.0,0.815547,sh.000001,0.035216
2000-03-08,1699.46,1726.04,1690.12,1726.03,1974594400,17218283520.0,1.842694,sh.000001,0.039177
2000-03-09,1734.77,1741.22,1714.92,1732.35,1787738000,18604742656.0,0.366155,sh.000001,0.035347
2000-03-10,1731.94,1743.14,1701.79,1705.05,1587236400,16393991168.0,-1.57589,sh.000001,0.031383
2000-03-13,1706.77,1729.01,1706.35,1728.88,1982662600,12882606080.0,1.39761,sh.000001,0.039201
2000-03-14,1690.65,1700.37,1636.89,1685.35,2287044400,18661144576.0,-2.517817,sh.000001,0.045205
2000-03-15,1680.3,1695.16,1676.54,1681.47,1678216400,15695372288.0,-0.230219,sh.000001,0.033166
2000-03-16,1671.1,1671.18,1596.07,1607.53,1979159000,13637411840.0,-4.397339,sh.000001,0.039114
2000-03-17,1602.36,1661.98,1602.34,1658.6,1533672400,13891457024.0,3.17692,sh.000001,0.03031
2000-03-20,1646.31,1699.28,1641.77,1699.25,1817380000,17219844096.0,2.450864,sh.000001,0.035913
2000-03-21,1704.09,1713.21,1692.68,1710.32,1635110200,17635837952.0,0.651461,sh.000001,0.032293
2000-03-22,1713.24,1726.59,1711.16,1720.45,1465842100,16886303744.0,0.592287,sh.000001,0.02895
2000-03-23,1724.19,1747.28,1711.41,1747.24,1674314100,17434437632.0,1.557153,sh.000001,0.033028
2000-03-24,1761.44,1770.26,1729.48,1730.5,2203672000,22607366144.0,-0.958082,sh.000001,0.04347
2000-03-27,1736.7,1776.02,1736.7,1775.91,1992731200,20103073792.0,2.624099,sh.000001,0.039233
2000-03-28,1788.83,1799.95,1774.48,1791.44,2448436800,22388465664.0,0.874476,sh.000001,0.048205
2000-03-29,1797.88,1803.83,1763.62,1788.81,2302668200,19240343552.0,-0.146803,sh.000001,0.045335
2000-03-30,1793.68,1811.06,1790.85,1810.98,2930543200,18011625472.0,1.239367,sh.000001,0.057646
2000-03-31,1810.55,1810.9,1780.41,1800.23,2334036400,18552252416.0,-0.593601,sh.000001,0.045873
