日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,股票代码,换手率
2000-01-04,3374.11,3512.297,3360.207,3497.06,734450800,5236590080.0,3.782245,sz.399001,0.07378
2000-01-05,3500.133,3589.177,3468.688,3486.285,937389700,7411259904.0,-0.30812,sz.399001,0.094167
2000-01-06,3475.46,3663.215,3454.348,3655.2,1124048100,9095856128.0,4.84513,sz.399001,0.112917
2000-01-07,3701.477,3848.06,3701.477,3828.04,2990011200,19049639936.0,4.728608,sz.399001,0.300365
2000-01-10,3881.746,3929.062,3832.195,3921.483,2698710400,18555478016.0,2.441011,sz.399001,0.268798
2000-01-11,3924.712,3931.078,3691.56,3716.784,1757251800,13558956032.0,-5.219938,sz.399001,0.175027
2000-01-12,3699.292,3768.143,3585.467,3605.824,1140833100,9870341120.0,-2.985376,sz.399001,0.11363
2000-01-13,3604.275,3637.68,3552.05,3580.982,746048200,5948812800.0,-0.688942,sz.399001,0.074308
2000-01-14,3582.163,3609.192,3524.51,3542.82,615049900,5135400960.0,-1.065682,sz.399001,0.06126
2000-01-17,3535.506,3597.77,3496.0,3594.65,618530800,5459877888.0,1.462954,sz.399001,0.061607
2000-01-18,3601.88,3633.106,3558.86,3571.973,730889400,6783902208.0,-0.630854,sz.399001,0.072798
2000-01-19,3560.587,3640.088,3559.937,3603.856,734608700,6871964160.0,0.89259,sz.399001,0.073169
2000-01-20,3608.166,3670.19,3603.985,3668.842,976650100,10455608320.0,1.803238,sz.399001,0.097277
2000-01-21,3687.19,3744.273,3644.08,3702.087,1384986600,13778822144.0,0.906141,sz.399001,0.137948
2000-01-24,3709.192,3736.43,3646.17,3734.725,1463516500,15079510016.0,0.881616,sz.399001,0.14577
2000-01-25,3752.53,3803.772,3702.65,3726.057,1246311500,12960544768.0,-0.232098,sz.399001,0.124136
2000-01-26,3718.128,3754.1,3700.66,3737.985,964243500,9664614400.0,0.32013,sz.399001,0.096041
2000-01-27,3782.89,3855.348,3754.1,3844.965,1607922800,15288338432.0,2.861969,sz.399001,0.160153
2000-01-28,3889.138,3952.407,3869.418,3952.407,2452384000,18975940608.0,2.794353,sz.399001,0.244263
2000-02-14,4102.648,4323.35,4096.457,4322.373,4166020000,23096238080.0,9.360526,sz.399001,0.414946
2000-02-15,4442.12,4578.615,4343.58,4394.693,4401459600,34518736896.0,1.673151,sz.399001,0.438396
2000-02-16,4425.846,4475.015,4329.138,4457.414,3252190800,32146857984.0,1.427203,sz.399001,0.323926
2000-02-17,4564.59,4685.486,4256.26,4313.97,4365602400,42624880640.0,-3.218096,sz.399001,0.434824
2000-02-18,4274.095,4360.425,4095.668,4356.603,2528476000,26050805760.0,0.98825,sz.399001,0.251842
2000-02-21,4389.42,4437.854,4275.298,4344.488,2774268400,27985367040.0,-0.278089,sz.399001,0.276324
2000-02-22,4341.848,4395.908,4174.957,4186.695,2141714800,22597287936.0,-3.632027,sz.399001,0.21332
2000-02-23,4134.872,4164.7,4039.87,4072.468,1856141800,18682662912.0,-2.728329,sz.399001,0.184876
2000-02-24,4056.897,4222.655,4056.897,4221.842,1478103400,16069564416.0,3.667893,sz.399001,0.147223
2000-02-25,4254.67,4296.544,4189.372,4262.818,1621413700,18250317824.0,0.970573,sz.399001,0.161497
2000-02-28,4274.66,4506.052,4244.727,4481.738,2263943400,23493572608.0,5.135568,sz.399001,0.225494
2000-02-29,4523.95,4562.377,4369.482,4484.164,2410648800,24289054720.0,0.054137,sz.399001,0.239392
2000-03-01,4468.972,4510.38,4398.855,4427.2,2048621200,21419952128.0,-1.270334,sz.399001,0.20344
2000-03-02,4409.147,4505.64,4375.88,4443.523,1923532000,19612600320.0,0.368692,sz.399001,0.190661
2000-03-03,4462.378,4581.614,4462.346,4488.268,2463858800,23241338880.0,1.006974,sz.399001,0.244218
2000-03-06,4519.992,4552.266,4311.89,4316.11,2719510000,23550042112.0,-3.835738,sz.399001,0.269558
2000-03-07,4278.05,4401.652,4261.97,4399.95,1853266800,15397232640.0,1.942498,sz.399001,0.182821
2000-03-08,4411.976,4515.68,4373.834,4498.22,1969146000,15869277184.0,2.233435,sz.399001,0.194253
2000-03-09,4528.856,4606.71,4474.33,4548.685,1790936400,18838405120.0,1.121885,sz.399001,0.176672
2000-03-10,4559.53,4587.45,4450.314,4463.655,1663691900,15986802688.0,-1.869337,sz.399001,0.16412
2000-03-13,4462.318,4520.79,4451.525,4495.92,2170456400,15664086016.0,0.722841,sz.399001,0.214111
2000-03-14,4377.18,4417.8,4239.932,4371.558,2389748400,19352418304.0,-2.766104,sz.399001,0.235744
2000-03-15,4365.553,4415.472,4326.887,4333.89,1794926800,15058230272.0,-0.86166,sz.399001,0.177066
2000-03-16,4304.6,4304.6,4100.777,4131.542,1943641200,14716707840.0,-4.668972,sz.399001,0.191737
2000-03-17,4114.415,4327.975,4114.28,4315.0,1544676200,14009321472.0,4.440424,sz.399001,0.152379
2000-03-20,4252.172,4370.676,4231.785,4367.73,1828766200,17108129792.0,1.222016,sz.399001,0.180404
2000-03-21,4362.09,4406.87,4350.317,4387.27,1794882400,18396278784.0,0.447373,sz.399001,0.177062
2000-03-22,4394.233,4479.9,4384.684,4439.087,1761210000,17949556736.0,1.181074,sz.399001,0.17374
2000-03-23,4446.447,4492.907,4381.96,4492.432,1941651400,19532912640.0,1.201716,sz.399001,0.19154
2000-03-24,4515.38,4580.684,4455.646,4461.658,2432621600,23796766720.0,-0.685017,sz.399001,0.239974
2000-03-27,4461.67,4574.226,4461.67,4571.664,2373357800,22861344768.0,2.465582,sz.399001,0.234127
2000-03-28,4615.474,4635.664,4546.372,4591.12,2703919800,24594542592.0,0.425579,sz.399001,0.266149
2000-03-29,4612.884,4629.554,4510.647,4559.862,2208418400,20333989888.0,-0.680843,sz.399001,0.217376
2000-03-30,4566.426,4584.777,4539.326,4580.82,2764212000,19503828992.0,0.459619,sz.399001,0.272084
2000-03-31,4578.607,4578.607,4488.047,4532.312,2251314000,19790528512.0,-1.058933,sz.399001,0.221599
2000-04-03,4523.905,4551.078,4506.404,4508.083,2119839600,18002550784.0,-0.534584,sz.399001,0.208657
2000-04-04,4515.01,4515.01,4403.315,4413.746,1789575200,15292701696.0,-2.092617,sz.399001,0.176149
